,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
7393,0,0,1,1,42,1,0,1,0,0,0,0,2,0,0,1,1,77.95,2936
5777,0,0,0,0,10,1,2,1,0,2,2,0,0,2,0,1,2,94.85,6452
4712,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,2,48.95,4054
7033,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,25.25,4784
5244,1,0,0,0,7,1,0,2,1,1,1,1,1,1,0,1,3,19.4,1172
451,1,0,0,0,7,1,0,2,1,1,1,1,1,1,0,1,3,18.95,550
3166,1,0,0,0,4,1,2,1,2,0,0,0,0,0,0,1,2,80.1,2915
5936,1,0,1,0,40,1,2,1,0,0,0,0,2,2,0,1,0,97.1,3195
6296,0,1,0,0,9,1,2,1,0,0,0,0,0,2,0,1,2,84.45,5838
890,0,0,1,1,55,1,2,2,1,1,1,1,1,1,2,1,1,25.65,701
2763,1,0,1,1,44,0,1,0,0,0,2,2,2,2,1,1,2,54.3,1952
658,1,0,1,0,14,1,0,0,0,0,0,0,0,0,1,0,2,44.6,5164
1506,1,0,1,1,70,1,2,2,1,1,1,1,1,1,2,0,3,25.35,1219
6123,1,0,0,1,54,1,2,0,0,2,0,0,0,0,0,1,1,55.0,2690
7771,1,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,2,80.0,6013
7282,1,0,0,0,12,1,0,0,0,0,0,2,2,0,1,1,2,59.8,5651
999,1,0,1,1,58,1,0,1,0,2,0,0,2,2,0,1,2,92.85,4437
389,0,1,0,0,71,1,2,0,2,2,2,2,2,2,2,0,3,89.85,5085
3407,1,0,1,0,72,1,2,1,2,2,2,2,2,2,2,1,1,114.1,6051
2330,0,0,0,0,37,1,2,0,2,0,0,0,2,0,1,0,0,64.65,1982
1476,0,1,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.85,5315
2240,0,0,1,1,5,1,0,1,0,0,0,0,2,0,0,1,2,80.85,3081
6997,1,0,1,1,7,0,1,0,2,0,0,2,0,0,0,1,2,34.5,2415
7008,1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,1,2,86.55,5205
6500,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.5,5446
3722,0,1,0,0,72,1,2,1,0,2,2,2,2,2,2,0,2,111.65,5993
6571,1,0,0,0,16,1,0,1,2,0,0,0,2,2,0,1,2,94.25,880
2972,1,0,0,1,62,1,0,2,1,1,1,1,1,1,2,0,0,20.0,457
3386,1,0,1,1,38,1,0,0,2,2,2,2,2,0,1,0,2,74.05,2431
2775,1,0,0,0,11,0,1,0,0,2,2,0,0,0,0,0,3,34.7,3278
1923,1,0,0,0,57,1,2,1,0,0,0,2,2,0,2,1,1,90.45,4380
758,1,0,1,1,2,1,0,2,1,1,1,1,1,1,1,0,3,20.2,2943
700,1,0,1,1,56,1,0,1,0,2,2,2,0,0,1,1,3,85.85,4047
6818,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,2329
1293,0,0,1,0,57,1,2,0,0,2,2,2,2,0,1,0,0,74.6,3710
6867,1,0,0,0,69,1,2,1,0,2,0,2,2,2,1,1,0,104.7,5630
2873,1,0,1,0,24,1,2,0,2,0,0,2,0,0,1,1,2,58.35,633
6518,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3,45.85,3825
6383,0,1,0,0,38,1,2,1,0,0,0,2,2,2,0,1,2,99.55,3214
1907,0,1,0,0,46,1,2,1,2,2,2,0,2,2,1,1,2,110.0,4121
5477,1,1,0,0,15,1,0,1,0,0,0,0,0,2,0,1,2,79.4,293
5410,0,1,0,0,41,1,2,1,2,2,2,0,2,2,0,1,2,113.2,3968
368,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.4,1614
1937,0,0,1,1,14,1,0,2,1,1,1,1,1,1,1,0,3,19.55,2543
1151,1,0,1,0,59,1,2,1,0,0,0,0,0,2,1,0,2,85.55,4296
7462,1,0,0,0,7,1,2,1,0,0,0,0,0,2,0,1,3,85.2,4929
6859,1,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,3,49.9,546
4165,0,0,0,0,8,1,0,2,1,1,1,1,1,1,2,0,3,20.0,748
4157,1,0,1,1,8,1,0,0,0,0,2,0,0,0,0,1,2,51.05,3544
3010,1,1,1,1,43,1,2,1,0,2,2,2,2,2,0,1,0,110.75,3965
7655,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,252
191,0,0,0,0,59,1,2,2,1,1,1,1,1,1,2,0,2,24.45,887
4962,0,0,0,1,43,1,0,1,2,2,0,2,2,2,1,1,1,106.0,3858
6764,0,1,1,1,34,1,2,1,0,2,0,0,0,0,0,1,3,79.6,2357
174,0,0,1,1,20,1,0,2,1,1,1,1,1,1,0,0,3,20.05,3470
1903,1,0,0,0,31,1,2,1,0,0,0,2,0,0,1,0,1,81.7,2201
1099,0,0,1,0,72,1,2,1,0,2,2,2,2,2,2,1,0,110.45,6004
5166,1,0,1,1,15,1,0,2,1,1,1,1,1,1,2,0,3,19.35,2409
3408,0,1,1,0,52,1,2,1,0,2,2,0,2,2,1,1,2,106.5,4656
3593,1,1,1,0,72,1,2,0,2,2,2,0,2,2,2,0,1,84.45,4840
2292,0,0,1,0,61,1,2,1,0,0,2,2,2,2,0,1,2,106.35,5348
6787,1,1,1,1,43,1,2,1,0,2,2,2,2,2,0,1,0,110.75,3965
7566,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.35,5444
5174,1,1,1,0,63,1,2,1,2,2,2,0,2,2,2,0,1,108.5,5495
6453,0,1,0,0,42,1,2,1,0,2,2,0,2,2,0,1,0,104.75,3679
1164,1,0,0,0,68,1,2,1,2,2,2,0,0,2,2,1,0,102.1,5601
4366,1,1,1,0,71,1,0,0,2,2,0,2,2,0,1,1,0,71.0,4244
4516,1,0,1,1,38,1,2,1,0,0,2,2,2,0,2,1,0,94.9,3125
7465,1,0,1,1,39,1,0,1,0,2,0,0,2,0,0,1,3,86.3,2843
5806,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.55,5512
4881,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,45.3,3816
5517,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,2507
1661,1,0,0,0,35,1,0,1,2,0,0,2,0,2,1,1,2,89.2,2830
508,0,0,0,0,29,1,2,0,2,2,0,2,0,0,0,0,3,67.45,1349
166,1,0,1,1,71,1,0,0,2,2,2,2,2,2,2,0,0,85.45,4933
7226,1,0,1,1,8,1,0,0,0,0,2,0,0,0,0,1,2,51.05,3544
5362,0,1,0,0,30,1,2,1,0,2,0,0,2,2,0,1,2,99.7,2564
5229,1,1,1,0,45,1,2,0,2,0,2,2,0,2,2,0,1,75.15,3018
5438,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.1,5440
3269,1,0,1,1,62,1,2,1,2,2,2,2,2,2,2,0,0,115.55,5604
5253,1,0,0,0,12,1,2,1,0,0,0,0,2,2,0,1,2,96.05,283
3494,1,0,1,0,11,1,2,1,0,2,0,0,0,0,0,1,0,80.5,6316
4121,1,0,0,0,8,1,0,0,2,0,2,0,0,2,0,1,2,66.7,4773
103,1,0,0,0,2,1,2,1,0,0,0,0,0,2,0,1,2,86.0,1129
3265,1,1,1,0,37,1,0,1,0,0,0,0,0,0,0,1,0,72.25,2231
1111,1,0,0,0,10,1,2,0,0,0,0,0,2,2,0,1,1,72.15,5991
7023,1,0,0,0,6,0,1,0,0,2,0,0,0,0,0,1,1,30.5,1708
3859,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,3,70.3,1824
1104,0,0,1,1,6,1,2,1,0,0,0,2,0,0,0,1,2,80.5,4252
6703,1,0,0,0,3,0,1,0,2,2,0,0,0,0,0,1,3,35.45,118
1752,1,0,1,1,54,1,2,0,0,0,2,0,0,2,2,0,1,63.35,2950
6952,0,0,0,0,13,0,1,0,0,0,0,0,0,2,0,1,2,35.1,3788
4379,0,0,1,0,67,1,0,2,1,1,1,1,1,1,2,0,3,19.65,605
3545,0,0,0,0,29,1,2,1,0,0,2,0,2,2,0,0,0,100.55,2485
3966,0,0,1,0,70,1,2,0,2,2,2,2,2,2,2,1,1,94.8,5415
2916,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,74.7,5723
5137,0,0,1,1,72,1,2,1,2,2,2,2,0,2,2,0,1,107.45,5851
1658,1,0,1,1,54,0,1,0,0,0,2,2,0,2,2,0,1,46.0,2071
152,0,0,0,0,20,1,0,2,1,1,1,1,1,1,0,1,1,18.9,3003
4486,0,0,1,0,43,1,2,1,2,2,0,0,0,2,0,1,2,94.1,3496
2483,1,1,1,0,71,0,1,0,2,2,2,2,0,0,2,0,1,46.35,2911
1583,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.95,5455
6555,0,0,1,1,67,1,2,1,2,0,0,2,0,2,1,1,1,94.35,5123
2552,1,0,0,0,22,1,0,2,1,1,1,1,1,1,1,0,3,20.3,4021
7618,1,0,0,1,1,1,2,1,0,0,2,0,2,2,0,1,2,99.75,6511
3717,1,0,1,1,72,1,0,1,2,0,2,2,2,2,2,1,1,104.9,5807
5722,0,0,0,0,9,1,2,1,0,0,0,0,0,2,0,1,2,83.3,6033
5724,1,0,0,0,11,1,2,2,1,1,1,1,1,1,0,0,1,23.15,2102
6683,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.2,5442
6803,0,0,0,0,6,0,1,0,0,0,2,0,2,2,0,1,2,47.95,2650
2209,0,1,1,0,31,1,2,1,0,0,2,0,2,0,1,1,2,90.7,2448
4319,0,0,1,1,33,1,2,1,2,0,2,0,2,2,1,1,3,103.7,3000
4810,1,0,0,0,6,1,0,0,0,0,0,2,0,0,0,0,3,50.05,2489
4339,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,3,50.45,4228
2985,1,0,0,0,38,1,2,1,2,2,0,0,2,2,1,1,2,104.85,3326
1822,0,0,0,0,38,1,0,2,1,1,1,1,1,1,2,0,3,20.3,5740
6020,1,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,1,73.25,568
6044,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,1,3,19.45,1483
7411,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.8,5452
6888,0,1,0,0,21,1,2,1,0,0,0,0,2,2,0,1,2,94.25,1578
309,1,1,0,0,14,1,2,1,0,0,0,0,0,0,0,1,2,74.95,76
212,0,0,0,0,47,1,0,0,2,2,0,2,0,0,1,1,3,58.9,2439
7366,0,1,0,0,40,0,1,0,2,2,0,0,2,2,0,1,2,55.8,1739
4674,0,1,0,0,2,1,2,1,0,0,0,0,0,0,0,1,3,75.45,1030
7569,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,2,24.45,6242
7174,0,1,0,0,38,1,2,1,0,0,0,2,2,2,0,1,2,99.55,3214
3450,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,50.4,665
495,1,0,1,1,43,1,0,2,1,1,1,1,1,1,1,1,3,19.2,5896
5589,0,0,0,0,1,1,0,1,0,2,0,0,2,0,0,0,2,84.3,6172
3256,1,0,0,0,35,1,0,0,0,0,0,0,2,0,0,0,3,55.0,1639
205,1,1,1,1,11,1,2,1,0,0,0,0,0,0,0,1,1,75.2,5890
1434,0,1,0,0,44,1,0,1,0,2,2,0,0,2,1,0,1,89.15,3409
1135,0,0,1,0,33,0,1,0,2,0,2,2,2,2,2,0,0,59.55,1645
2584,0,0,1,1,43,0,1,0,2,2,0,2,2,0,1,1,0,51.25,1769
868,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.15,5504
2749,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,3,50.6,4231
305,1,0,1,0,69,1,0,0,2,2,0,0,0,0,1,1,1,53.65,3262
1849,0,0,1,0,3,1,0,2,1,1,1,1,1,1,0,0,3,20.85,5621
4118,1,0,0,0,15,1,2,0,0,0,0,0,0,0,0,1,2,49.0,5763
3826,0,1,0,0,30,0,1,0,0,0,2,0,2,0,0,1,2,40.3,322
1988,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.75,5451
3240,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,88.7,5096
2798,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,46.6,6268
4412,1,0,1,1,8,1,0,2,1,1,1,1,1,1,2,0,3,19.7,548
1534,0,0,0,1,19,1,0,2,1,1,1,1,1,1,2,0,3,20.5,3401
3109,0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,2,74.75,5548
843,0,0,0,0,2,1,0,1,2,0,2,0,0,0,0,1,2,80.45,664
1987,0,0,1,1,38,1,0,2,1,1,1,1,1,1,1,0,1,19.6,5842
5359,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,1,2,74.35,5718
5234,0,0,0,0,19,1,0,0,0,0,0,0,0,2,0,1,2,56.2,186
1714,0,0,0,0,7,1,0,0,0,0,0,2,2,2,0,1,1,70.75,3829
383,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,44.75,2352
1538,0,0,0,0,25,1,2,2,1,1,1,1,1,1,2,0,1,24.75,5462
211,0,0,1,0,33,1,0,2,1,1,1,1,1,1,0,0,3,20.05,5310
3388,1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,659
6757,0,1,0,0,41,1,2,1,2,2,2,0,2,2,0,1,2,113.2,3968
1957,1,0,0,0,26,1,0,1,0,2,2,2,0,0,1,1,2,85.2,1799
5102,0,0,0,0,37,1,0,1,0,2,2,0,0,0,1,0,2,80.05,2615
2438,0,1,0,0,5,1,0,1,0,0,0,0,0,2,0,0,2,78.95,3246
2727,1,0,1,1,72,1,2,1,2,2,2,2,2,2,2,1,1,112.6,6074
4012,0,0,1,1,42,1,2,2,1,1,1,1,1,1,2,0,2,22.95,33
6722,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.7,5723
1349,1,0,1,0,30,1,0,2,1,1,1,1,1,1,1,0,1,20.7,4821
4885,1,0,1,1,65,1,0,0,2,0,0,2,2,2,2,1,0,74.8,4073
3653,1,0,0,0,25,1,0,2,1,1,1,1,1,1,1,0,1,19.9,4304
3580,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,2,80.8,6022
5963,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,19.25,1480
680,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,1,2,30.9,4841
180,0,0,1,1,68,1,0,2,1,1,1,1,1,1,2,1,0,19.35,535
7405,0,1,0,0,26,1,2,1,0,2,0,0,2,0,0,1,2,89.15,1915
4407,1,0,1,1,68,1,0,0,0,0,2,2,2,2,2,1,0,72.95,4196
7188,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,1,2,94.75,6294
4661,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,1,25.25,1430
278,1,0,1,0,67,1,2,2,1,1,1,1,1,1,2,0,1,25.6,1319
5271,0,0,0,1,16,1,2,1,0,0,0,2,0,0,1,1,1,79.5,483
3319,0,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,19.95,177
3252,1,0,0,0,1,1,2,2,1,1,1,1,1,1,0,1,3,24.05,2036
5654,1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,1326
2480,0,1,1,0,12,1,0,0,2,0,2,2,2,2,1,1,2,79.2,6430
289,0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,4894
3075,1,0,0,0,21,1,0,2,1,1,1,1,1,1,0,0,3,20.0,3565
4851,0,0,0,0,11,0,1,0,0,2,2,2,0,0,1,1,1,40.4,3603
5064,0,0,1,0,19,1,0,1,0,0,2,0,2,2,0,1,2,96.8,1262
7508,1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,74.9,1943
993,0,0,0,0,28,1,2,0,2,0,2,0,0,0,1,0,3,59.0,1137
3235,1,0,1,0,71,1,2,0,2,2,2,2,2,2,2,0,0,90.55,5161
2236,1,1,0,0,57,1,2,1,0,2,0,2,2,2,0,1,0,104.9,4849
7262,1,0,0,0,19,1,0,1,0,2,0,0,0,0,0,1,1,73.85,784
39,1,0,1,1,55,1,0,0,0,0,2,2,0,0,2,1,1,55.25,2709
7357,0,1,0,0,25,1,2,1,0,2,0,0,0,2,0,1,2,89.7,1803
5266,1,0,1,0,49,0,1,0,0,2,0,0,2,2,2,0,1,49.65,2054
5505,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,1,2,35.1,5381
2754,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.15,5441
6245,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,70.0,955
3742,0,0,1,1,53,1,0,2,1,1,1,1,1,1,2,0,3,20.9,278
270,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,3,29.7,2504
3698,0,0,1,0,48,1,0,1,0,2,2,0,2,2,1,1,2,97.05,3975
2883,0,0,1,0,72,1,2,2,1,1,1,1,1,1,2,0,1,26.45,1516
6368,0,0,0,1,4,1,2,1,0,2,0,0,2,0,0,0,3,89.6,3155
5022,1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,105.55,5730
5106,1,0,0,0,23,1,2,1,0,0,0,2,2,0,0,1,2,90.6,1547
5606,1,0,0,0,22,0,1,0,0,2,2,0,0,2,1,1,0,43.75,6333
3837,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,1295
6054,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.2,1610
111,0,0,1,1,61,1,2,0,2,2,0,0,0,0,0,0,2,59.8,3145
3218,1,0,1,1,34,1,2,1,0,0,2,0,0,2,0,1,1,90.05,2694
1391,1,0,1,0,10,1,0,1,0,0,0,0,0,0,0,1,2,70.3,5703
2600,0,1,1,0,11,1,2,1,0,0,2,2,2,2,0,1,0,104.05,261
220,0,0,1,0,67,1,2,2,1,1,1,1,1,1,2,1,1,25.25,1242
5873,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,2,70.3,1709
4690,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,35.9,3036
4004,1,0,0,0,69,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1215
4750,0,0,1,0,71,1,2,0,2,2,2,2,2,2,2,0,2,90.1,5103
83,0,0,1,1,63,1,2,1,2,2,2,0,2,0,0,1,2,100.55,5049
873,1,1,1,0,27,1,2,1,2,0,2,0,0,0,1,1,2,85.9,1856
7659,1,0,0,0,46,0,1,0,0,2,0,0,0,0,0,0,0,30.3,688
4874,0,0,0,0,15,0,1,0,0,2,0,0,0,2,2,1,3,38.8,4934
461,0,0,0,0,32,1,2,0,2,0,0,0,2,2,1,0,3,74.75,1923
6848,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,1,2,75.7,1468
551,0,0,0,0,50,1,2,1,0,0,0,0,2,2,0,1,2,95.7,3998
3781,0,0,1,0,48,0,1,0,2,0,2,0,0,2,0,1,0,45.3,1763
2374,1,1,0,0,53,0,1,0,0,2,2,0,2,2,0,1,2,54.45,2465
6550,0,0,1,0,9,1,0,1,0,0,2,0,0,0,0,1,0,75.75,5238
7191,1,0,1,1,29,1,2,1,0,0,2,0,0,2,0,1,2,89.2,2345
2246,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,43.3,419
7324,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,45.0,496
4428,1,0,0,0,48,1,2,1,0,2,2,0,2,2,2,1,0,108.1,4285
2450,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,2609
2329,0,0,1,0,72,1,2,1,2,0,0,0,0,0,2,0,0,80.45,4738
6536,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,0,20.2,1610
2146,0,0,1,0,26,1,0,0,0,2,2,2,2,2,0,0,0,81.9,1703
4508,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,3,46.0,4172
6309,1,0,0,1,9,1,0,0,0,0,0,0,2,0,0,0,2,55.35,3806
6872,0,0,0,0,8,1,2,1,2,0,0,2,2,2,0,1,0,103.35,6198
650,0,0,0,1,5,1,0,0,0,0,0,2,0,0,0,1,3,51.0,2468
7315,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,2,45.55,3440
708,1,0,0,0,7,1,0,1,0,0,2,0,0,0,0,0,3,74.65,4522
6661,1,1,1,0,32,1,0,1,0,0,0,0,0,2,0,1,1,80.3,2130
4147,0,0,0,0,17,1,2,0,0,0,2,2,2,0,0,1,3,69.0,205
6253,0,0,0,0,5,1,2,1,0,0,0,0,0,0,0,0,2,75.55,3523
4961,0,0,1,0,8,1,0,0,2,0,0,2,0,2,2,0,3,65.5,4669
3063,0,0,0,0,9,1,0,1,0,0,0,0,0,2,0,1,2,79.55,5635
5228,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,71.0,5564
3349,0,1,0,0,3,1,0,1,0,0,2,0,2,0,0,1,2,86.85,1830
1424,1,0,1,1,3,1,0,0,0,2,2,0,0,0,0,1,3,56.15,1168
1216,0,0,1,0,24,1,0,0,0,2,0,0,2,2,0,1,0,69.45,1076
5950,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,3698
1924,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.85,5518
104,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,1,2,36.45,3113
1064,0,0,1,0,65,1,0,0,2,2,2,0,0,2,2,0,0,71.0,3724
314,0,0,0,0,12,1,0,1,0,0,2,0,2,2,0,1,2,96.0,123
1289,0,0,1,1,67,0,1,0,2,2,2,2,2,0,2,0,1,54.2,3130
1427,0,0,1,0,56,1,2,1,0,2,2,2,0,0,0,0,2,90.55,4307
4323,1,0,0,0,16,1,0,2,1,1,1,1,1,1,0,0,0,20.25,2845
6133,1,0,0,0,36,1,2,1,0,0,0,0,0,2,0,1,2,84.75,2653
3129,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,1,3,19.3,1481
7775,1,1,1,0,30,1,0,1,0,2,2,0,0,0,0,1,3,79.65,2001
6306,0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,94.3,3617
3008,1,0,0,0,66,1,2,1,0,2,0,2,2,2,1,1,2,104.25,5418
6447,0,0,1,1,70,1,2,1,2,2,2,2,0,0,2,0,0,93.9,5249
1105,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,2373
6698,1,0,1,1,38,1,2,1,0,2,2,0,2,0,0,1,2,94.65,3131
5737,1,0,0,0,2,1,2,1,0,2,0,0,0,0,0,1,2,82.0,1398
4794,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,2,44.8,1188
7781,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.4,5719
4220,0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,1,1,74.7,2771
684,0,0,0,0,12,1,0,1,2,0,0,2,2,2,0,1,0,98.9,232
5711,0,0,0,0,8,1,0,0,2,0,0,0,0,0,0,1,2,49.85,3154
5471,0,0,0,0,6,1,0,0,0,0,0,2,0,0,0,1,0,50.8,2488
2765,1,0,0,0,20,1,0,2,1,1,1,1,1,1,0,1,1,19.6,3082
4561,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,19.55,1485
6003,1,0,0,0,3,1,0,1,0,0,0,0,2,0,0,0,2,79.25,2325
6877,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.55,5447
3682,0,0,1,0,42,1,2,0,2,2,0,2,0,0,0,1,1,66.4,2371
6768,0,0,1,1,12,0,1,0,0,2,0,0,0,0,0,0,3,29.2,2682
6069,0,1,0,0,10,1,0,1,0,0,2,0,0,2,0,1,1,84.6,6253
2451,0,0,1,1,37,1,2,2,1,1,1,1,1,1,2,1,0,24.1,6244
3901,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.25,2038
326,0,0,0,0,11,0,1,0,0,0,0,0,2,0,0,1,3,35.8,3138
2652,0,0,1,1,72,1,2,0,2,0,2,2,2,2,2,1,0,83.3,4941
6515,1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,660
2176,0,0,1,1,33,1,2,1,0,0,0,0,0,2,0,0,1,86.15,2385
4834,0,0,0,0,65,1,2,2,1,1,1,1,1,1,2,0,0,26.5,1195
4602,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,1,19.75,1489
6743,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.55,5969
3318,0,1,1,0,2,1,0,0,0,2,0,0,0,0,0,0,1,50.15,285
4024,1,0,0,0,52,1,2,0,2,2,2,2,2,2,2,1,3,89.25,3938
4174,1,0,0,0,15,0,1,0,0,0,2,0,2,2,1,0,2,50.75,5426
2787,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,2,76.1,2227
5310,1,0,1,0,21,1,2,1,0,2,2,2,2,2,0,1,2,111.2,1952
4041,0,0,1,1,72,1,2,2,1,1,1,1,1,1,2,0,0,23.75,1165
1676,0,1,0,0,16,1,2,1,0,0,0,0,2,2,0,1,2,96.15,952
6972,1,0,0,0,3,1,0,2,1,1,1,1,1,1,0,1,3,19.8,4781
348,1,0,0,0,1,0,1,0,0,2,0,2,0,2,0,1,3,44.65,3745
6770,0,0,1,1,14,1,2,1,0,2,0,0,0,2,0,1,0,90.9,472
3226,0,0,0,0,25,1,0,1,0,2,2,0,2,2,0,1,2,99.5,2003
6785,1,0,1,0,1,1,0,1,0,0,2,0,0,0,0,0,2,76.2,5821
5520,1,0,0,0,8,1,2,1,0,2,2,0,2,0,0,1,2,94.0,5885
1626,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,50.75,4234
4746,1,1,1,0,55,1,2,1,0,0,0,0,0,0,0,1,2,74.0,3464
3877,1,0,1,0,68,1,0,1,0,2,0,2,2,2,1,1,2,100.3,5349
5624,1,0,1,0,12,1,0,1,2,0,0,2,0,0,0,0,0,80.85,6258
2369,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,69.75,811
871,1,0,0,0,3,1,0,1,0,0,0,0,2,2,0,0,3,90.7,2009
4567,0,0,0,0,61,1,2,1,0,0,2,2,2,2,2,1,2,106.6,5174
2217,0,0,1,1,22,1,0,2,1,1,1,1,1,1,0,0,3,19.9,3418
5196,0,0,0,0,9,1,0,0,2,2,0,0,2,2,0,1,2,74.65,5533
2218,1,0,1,1,71,1,2,1,0,2,0,0,2,2,1,0,0,100.55,5583
3326,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,25.05,4636
7097,0,1,0,0,42,1,2,1,0,0,0,0,2,0,0,1,2,84.65,3068
3583,0,0,1,1,36,1,2,0,2,2,2,2,2,2,2,1,1,92.9,2932
6112,0,0,0,0,13,0,1,0,0,0,0,0,0,2,0,1,2,35.1,3788
5223,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,44.75,3747
2121,0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,1,75.2,5116
6492,1,0,0,0,22,1,2,1,2,0,0,0,2,2,0,1,2,100.75,1726
136,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,5236
6111,1,0,1,0,49,1,2,0,2,0,2,2,2,2,1,0,2,84.35,3468
